                    X              UR1-Node2              UR1-Node3              UR2-Node2              UR2-Node3              UR3-Node2              UR3-Node3                   U1-Node2               U1-Node3               U2-Node2               U2-Node3               U3-Node2               U3-Node3
               28.E-03           -18.7883E-06         4.00581E-03      -18.2332E-06       -25.079E-06       -705.923E-06         -1.09176E-03      -25.275E-09       -251.278E-09       -172.245E-06       -646.852E-06          4.71133E-06       15.527E-06  
               28.5E-03            7.24085E-03       13.2217E-03       -18.6612E-06       -30.9089E-06      -581.677E-06       -905.216E-06        -33.5132E-09      -196.44E-09        -141.169E-06       -534.139E-06          4.75275E-06       15.8991E-06 
               29.E-03             9.38847E-03       13.6044E-03       -19.1922E-06       -30.765E-06       -468.847E-06       -717.116E-06        -26.3718E-09      -125.222E-09       -115.455E-06       -428.211E-06          4.78045E-06       16.2497E-06 
               29.5E-03            1.1392E-03         6.4619E-03       -18.6823E-06       -27.8259E-06      -367.456E-06       -537.735E-06         -8.04595E-09      -69.5432E-09       -93.6069E-06      -331.137E-06          4.8041E-06        16.5733E-06 
               30.E-03          -226.136E-06          1.26702E-03      -19.3182E-06       -26.7536E-06      -277.107E-06       -380.472E-06         -5.18478E-09      -34.8693E-09       -73.8898E-06      -245.037E-06          4.83786E-06       16.8489E-06 
               30.5E-03            6.01695E-03        9.84277E-03      -19.4275E-06       -28.7906E-06      -197.579E-06       -254.569E-06         -8.08062E-09      -22.6052E-09       -54.8358E-06      -171.747E-06          4.89068E-06       17.0653E-06 
               31.E-03             8.47751E-03       16.9179E-03       -19.6562E-06       -28.9065E-06      -129.177E-06       -167.789E-06        -13.4539E-09       -33.2236E-09       -35.6773E-06      -112.534E-06          4.96575E-06       17.2237E-06 
               31.5E-03            4.63276E-03        7.02998E-03      -19.4081E-06       -28.0917E-06       -72.3616E-06      -120.025E-06         -8.39902E-09      -12.5209E-09       -16.5959E-06       -67.9253E-06         5.06153E-06       17.3262E-06 
               32.E-03          -954.038E-06          1.35656E-03      -19.7019E-06       -27.2003E-06       -28.4741E-06      -106.922E-06          7.46925E-09        7.56485E-09        1.27946E-06      -37.7067E-06         5.17388E-06       17.3728E-06 
               32.5E-03            2.97551E-03        8.45013E-03      -19.3745E-06       -27.365E-06          1.5106E-06      -118.656E-06         -5.19649E-09      -13.5586E-09        16.1296E-06       -21.0816E-06         5.29456E-06       17.3675E-06 
               33.E-03            10.1542E-03        14.3648E-03       -18.9628E-06       -27.7132E-06        15.6574E-06      -144.772E-06        -19.26E-09         -23.9593E-09        25.8873E-06       -16.9537E-06         5.40205E-06       17.3247E-06 
               33.5E-03            5.38372E-03       11.626E-03        -19.1018E-06       -27.0114E-06        13.1829E-06      -175.64E-06          -5.17682E-09      -14.696E-09         28.7475E-06       -24.2535E-06         5.47283E-06       17.2608E-06 
               34.E-03          -601.862E-06          2.15527E-03      -19.7116E-06       -25.7708E-06        -6.98017E-06     -204.669E-06        874.863E-12         -4.94708E-09       23.6196E-06       -42.229E-06          5.50817E-06       17.1747E-06 
               34.5E-03            2.45397E-03        3.78515E-03      -19.7972E-06       -25.4443E-06       -44.1921E-06      -231.104E-06         -2.35199E-09       -8.09666E-09       10.4108E-06       -70.6282E-06         5.52272E-06       17.0555E-06 
               35.E-03             7.60903E-03       15.603E-03        -18.9256E-06       -27.0964E-06       -98.0553E-06      -258.681E-06         -7.30611E-09      -29.0773E-09        -9.9345E-06      -109.727E-06          5.51185E-06       16.9072E-06 
               35.5E-03            7.97851E-03       12.8938E-03       -19.6864E-06       -26.2524E-06      -166.887E-06       -297.006E-06        -16.1384E-09       -35.9801E-09       -35.6556E-06      -160.191E-06          5.46262E-06       16.7421E-06 
               36.E-03             1.17623E-03        2.97459E-03      -19.51E-06         -24.5276E-06      -249.024E-06       -355.607E-06         -2.86393E-09      -28.2006E-09       -64.5962E-06      -222.804E-06          5.38047E-06       16.5569E-06 
               36.5E-03         -692.781E-06          3.9548E-03       -19.2344E-06       -24.2208E-06      -342.616E-06       -444.41E-06          -3.82936E-09      -47.3838E-09       -94.7159E-06      -298.149E-06          5.27741E-06       16.3391E-06 
               37.E-03             7.6697E-03        11.3399E-03       -19.6954E-06       -26.9311E-06      -445.822E-06       -568.555E-06        -30.7972E-09      -102.368E-09       -124.56E-06        -386.311E-06          5.1616E-06        16.0847E-06 
               37.5E-03            8.8226E-03        15.1575E-03       -19.6988E-06       -28.9433E-06      -558.072E-06       -729.257E-06        -34.6386E-09      -152.765E-09       -153.573E-06       -486.677E-06          5.04018E-06       15.8E-06    
               38.E-03             1.85135E-03        6.87837E-03      -18.7265E-06       -25.3816E-06      -678.184E-06       -920.918E-06        -32.6318E-09      -207.759E-09       -182.183E-06       -597.901E-06          4.91179E-06       15.4901E-06 
               38.5E-03          165.686E-06        240.556E-06        -18.6672E-06       -21.7426E-06      -806.638E-06         -1.13355E-03      -44.0609E-09      -300.991E-09       -211.619E-06       -718.021E-06          4.77303E-06       15.146E-06  
               39.E-03             4.54081E-03       10.4138E-03       -18.1397E-06       -28.4598E-06      -942.608E-06         -1.35435E-03      -61.8599E-09      -427.257E-09       -243.521E-06       -844.727E-06          4.62339E-06       14.7642E-06 
               39.5E-03            9.20984E-03       16.0559E-03       -18.1852E-06       -34.9848E-06        -1.08688E-03       -1.57134E-03      -90.7526E-09      -583.608E-09       -279.431E-06       -975.695E-06          4.45292E-06       14.3714E-06 
               40.E-03             5.24325E-03        7.71757E-03      -18.6939E-06       -27.5597E-06        -1.2382E-03        -1.77558E-03     -112.328E-09       -735.834E-09       -320.322E-06         -1.10891E-03        4.25736E-06       13.9874E-06 
               40.5E-03           -1.65959E-03        2.48641E-03      -16.1454E-06       -21.1436E-06        -1.39612E-03       -1.96247E-03     -126.288E-09       -894.362E-09       -366.256E-06         -1.2429E-03         4.04643E-06       13.5887E-06 
               41.E-03             3.35843E-03        6.38374E-03      -17.4796E-06       -26.1429E-06        -1.55826E-03       -2.13341E-03     -177.118E-09         -1.10191E-06     -416.271E-06         -1.3768E-03         3.82946E-06       13.1483E-06 
               41.5E-03            9.54725E-03       14.7907E-03       -18.7197E-06       -37.7091E-06        -1.72271E-03       -2.29459E-03     -236.094E-09         -1.32489E-06     -468.527E-06         -1.5103E-03         3.6221E-06        12.6797E-06 
               42.E-03             5.5648E-03        12.8097E-03       -17.0476E-06       -34.2283E-06        -1.88679E-03       -2.45527E-03     -274.025E-09         -1.54304E-06     -520.681E-06         -1.64341E-03        3.43498E-06       12.2104E-06 
               42.5E-03          534.468E-06          1.26436E-03      -16.3483E-06       -17.7138E-06        -2.04773E-03       -2.6244E-03      -324.101E-09         -1.77615E-06     -570.389E-06         -1.77614E-03        3.26532E-06       11.7273E-06 
               43.E-03             1.16733E-03        4.30606E-03      -15.4467E-06       -21.3249E-06        -2.20348E-03       -2.80792E-03     -378.721E-09         -2.04901E-06     -615.803E-06         -1.90818E-03        3.112E-06         11.1944E-06 
               43.5E-03            7.46488E-03       14.8349E-03       -17.1706E-06       -38.5605E-06        -2.35177E-03       -3.00757E-03     -436.83E-09          -2.35739E-06     -655.941E-06         -2.03873E-03        2.97936E-06       10.6209E-06 
