                -0.97614E-05                 0.80756E-05                 0.95719E-05                -0.74404E-04                -0.82253E-04                 0.24225E-01
                -0.99388E-05                 0.82030E-05                 0.97423E-05                -0.75311E-04                -0.83589E-04                 0.24661E-01
                -0.10118E-04                 0.83311E-05                 0.99142E-05                -0.76220E-04                -0.84935E-04                 0.25102E-01
                -0.10298E-04                 0.84598E-05                 0.10087E-04                -0.77130E-04                -0.86293E-04                 0.25546E-01
                -0.10480E-04                 0.85893E-05                 0.10262E-04                -0.78042E-04                -0.87662E-04                 0.25994E-01
                -0.10664E-04                 0.87195E-05                 0.10438E-04                -0.78955E-04                -0.89042E-04                 0.26446E-01
                -0.10849E-04                 0.88504E-05                 0.10616E-04                -0.79871E-04                -0.90433E-04                 0.26902E-01
                -0.11036E-04                 0.89820E-05                 0.10794E-04                -0.80788E-04                -0.91835E-04                 0.27362E-01
                -0.11224E-04                 0.91143E-05                 0.10975E-04                -0.81707E-04                -0.93247E-04                 0.27825E-01
                -0.11414E-04                 0.92473E-05                 0.11156E-04                -0.82628E-04                -0.94670E-04                 0.28292E-01
                -0.11606E-04                 0.93809E-05                 0.11339E-04                -0.83550E-04                -0.96104E-04                 0.28763E-01
                -0.11799E-04                 0.95153E-05                 0.11523E-04                -0.84475E-04                -0.97547E-04                 0.29238E-01
                -0.11994E-04                 0.96503E-05                 0.11709E-04                -0.85403E-04                -0.99001E-04                 0.29716E-01
                -0.12191E-04                 0.97860E-05                 0.11896E-04                -0.86332E-04                -0.10046E-03                 0.30198E-01
                -0.12388E-04                 0.99224E-05                 0.12085E-04                -0.87263E-04                -0.10194E-03                 0.30684E-01
                -0.12588E-04                 0.10059E-04                 0.12275E-04                -0.88197E-04                -0.10342E-03                 0.31174E-01
                -0.12789E-04                 0.10197E-04                 0.12466E-04                -0.89133E-04                -0.10491E-03                 0.31668E-01
                -0.12992E-04                 0.10336E-04                 0.12658E-04                -0.90072E-04                -0.10642E-03                 0.32165E-01
                -0.13196E-04                 0.10475E-04                 0.12852E-04                -0.91013E-04                -0.10793E-03                 0.32666E-01
                -0.13402E-04                 0.10614E-04                 0.13047E-04                -0.91956E-04                -0.10945E-03                 0.33170E-01
                -0.13610E-04                 0.10755E-04                 0.13244E-04                -0.92902E-04                -0.11098E-03                 0.33679E-01
                -0.13819E-04                 0.10896E-04                 0.13442E-04                -0.93851E-04                -0.11252E-03                 0.34191E-01
